combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,put_only_max_vix,target_delta,conditional_e6_enabled,conditional_e7_enabled,downday_threshold_pct,downday_reference,conditional_upday_e6_enabled,conditional_upday_e7_enabled,upday_threshold_pct,upday_reference,downday_theoretical_put_credit,upday_theoretical_call_credit,net_return_exit_pct,callside_min_upday_pct,base_entry_downday_callonly_pct,base_entry_upday_putonly_pct,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
27,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.4,0.3,125765.00011496246,3.2973231462182047,-7895.000109896064,67.66541822721598,157.00998765912917,16.197975253093365,3556,2051,801,,,,,,,
33,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.5,0.3,128794.99990530312,3.275062932670374,-7810.0000032782555,66.70807453416148,159.9937887022399,17.180493273542602,3568,2067,805,,,,,,,
3,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,,0.3,136764.999448359,3.255648984119936,-8124.9998988211155,65.1685393258427,170.7428207844682,20.683352080989874,3556,2051,801,,,,,,,
22,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.3,0.4,128665.00002607703,3.233716022443976,-7805.000096783042,70.0374531835206,160.63046195515236,14.813793103448274,3625,1982,801,,,,,,,
18,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.3,,148340.0000537932,3.228430982816132,-8210.00003285706,70.16229712858927,185.19350818201397,14.504528502930208,3754,1853,801,,,,,,,
21,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.3,0.3,120075.00011436641,3.160883125385946,-8200.00008918345,69.03870162297129,149.90636718397803,15.073115860517436,3556,2051,801,,,,,,,
11,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.1,0.5,125795.00031158328,3.1400560146309027,-10990.000160709023,74.15730337078652,157.04744108811894,11.898940505297473,3681,1926,801,,,,,,,
6,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.1,,138050.0003094226,3.0617855294590988,-11205.000107511878,73.90761548064918,172.34706655358627,11.854022376132125,3754,1853,801,,,,,,,
25,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.4,0.1,107475.00011868775,3.0554742672540214,-7915.000222250819,65.04369538077404,134.17603011072129,16.661712247324616,3364,2243,801,,,,,,,
17,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.2,0.5,125499.99996609986,3.0547826696887057,-10280.000164285302,72.40948813982521,156.67915101885126,13.406682966585167,3681,1926,801,,,,,,,
10,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.1,0.4,118375.00028170645,3.054468521806706,-10800.00017143786,73.90761548064918,147.78402032672466,12.068965517241379,3625,1982,801,,,,,,,
