combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,put_only_max_vix,target_delta,conditional_e6_enabled,conditional_e7_enabled,downday_threshold_pct,downday_reference,conditional_upday_e6_enabled,conditional_upday_e7_enabled,upday_threshold_pct,upday_reference,downday_theoretical_put_credit,upday_theoretical_call_credit,net_return_exit_pct,callside_min_upday_pct,base_entry_downday_callonly_pct,base_entry_upday_putonly_pct,movement_entry_pct,max_vix_entry,vix_early_exit_threshold,price_based_stop_points,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
74,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.2,open,True,False,0.4,open,150,0,,,0.3,,,,,,159581.9995663762,1.9186672747919782,-17035.00157237053,72.86486486486487,172.52108061229862,9.9577266322217,4258,2217,925,,,,,,,
371,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.6,open,True,False,0.5,open,150,0,,,0.6,,,,,,174083.99964646995,1.9186475997913306,-19555.000964850187,71.67199148029819,185.39297086951007,11.659938256946093,4211,2362,939,,,,,,,
326,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.5,open,True,False,0.6,open,150,0,,,0.3,,,,,,158785.9996624142,1.9185425910168115,-17080.00157535076,72.69807280513919,170.00642362142847,10.114367405289492,4197,2341,934,,,,,,,
252,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.4,open,True,False,0.3,open,150,0,,,,,,,,,186410.9993198365,1.9184408942177469,-25790.000833794475,71.27545551982851,199.79742692372614,12.623297322686708,4258,2273,933,,,,,,,
287,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.4,open,True,False,0.75,open,150,0,,,0.6,,,,,,171979.9996292591,1.9182092363300596,-19865.00098206103,71.73447537473233,184.13276191569497,11.549429657794677,4208,2330,934,,,,,,,
212,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.35,open,150,0,,,0.3,,,,,,159721.99961942434,1.9181722388378353,-17080.00157535076,72.62931034482759,172.11422372782795,10.04733727810651,4225,2271,928,,,,,,,
209,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.3,open,150,0,,,0.6,,,,,,173911.99971479177,1.9179218477609172,-19375.001014322042,71.55172413793103,187.40517210645666,11.474056603773585,4240,2256,928,,,,,,,
299,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.5,open,True,False,0.25,open,150,0,,,0.6,,,,,,175005.9997536838,1.9176649481605352,-19540.00101029873,71.5203426124197,187.37259074270216,11.529411764705882,4250,2288,934,,,,,,,
197,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.2,open,150,0,,,0.6,,,,,,174792.99980553985,1.9176038190413744,-18890.000997632742,71.44396551724138,188.35452565252137,11.476179300633655,4261,2235,928,,,,,,,
143,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.25,open,True,False,0.75,open,150,0,,,0.6,,,,,,171165.9995417893,1.9174784479122933,-19755.000985860825,71.76724137931035,184.44612019589363,11.471144749290445,4228,2268,928,,,,,,,
323,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.5,open,True,False,0.5,open,150,0,,,0.6,,,,,,173100.9996548891,1.916990443830315,-19500.00096619129,71.62740899357601,185.33297607589842,11.564948943243886,4211,2327,934,,,,,,,
47,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.1,open,True,False,0.75,open,150,0,,,0.6,,,,,,171426.99953262508,1.9165402328513372,-21578.000983700156,71.78378378378379,185.3264859812163,11.307005171603198,4254,2221,925,,,,,,,
