date,vix,credit_pnl,price_pnl,better
2023-08-08,17.93,270.00,270.00,credit
2023-08-09,15.64,270.00,270.00,credit
2023-08-10,14.72,-1020.00,-1910.00,credit
2023-08-11,15.70,1360.00,1360.00,credit
2023-08-14,15.52,415.00,415.00,credit
2023-08-15,16.13,275.00,275.00,credit
2023-08-16,16.04,170.00,-45.00,credit
2023-08-17,17.01,135.00,5.00,credit
2023-08-18,18.52,520.00,1605.00,n=0.3
2023-08-21,17.47,-705.00,-300.00,n=0.3
2023-08-22,17.14,105.00,610.00,n=0.3
2023-08-23,16.39,670.00,670.00,credit
2023-08-24,15.94,80.00,-345.00,credit
2023-08-25,16.34,-300.00,1050.00,n=0.3
2023-08-28,15.62,365.00,735.00,n=0.3
2023-08-29,14.64,-640.00,-570.00,n=0.3
2023-08-30,14.13,110.00,670.00,n=0.3
2023-08-31,13.69,0.00,515.00,n=0.3
2023-09-01,13.12,165.00,165.00,credit
2023-09-05,14.32,130.00,130.00,credit
2023-09-06,14.34,155.00,155.00,credit
2023-09-07,15.49,460.00,460.00,credit
2023-09-08,13.89,125.00,125.00,credit
2023-09-11,14.29,75.00,75.00,credit
2023-09-12,14.04,0.00,0.00,credit
2023-09-13,14.02,190.00,190.00,credit
2023-09-14,13.28,55.00,55.00,credit
2023-09-15,13.17,230.00,230.00,credit
2023-09-18,14.44,55.00,55.00,credit
2023-09-19,14.44,170.00,170.00,credit
2023-09-20,14.04,-575.00,-5725.00,credit
2023-09-21,16.47,205.00,166.00,credit
2023-09-22,16.73,135.00,515.00,n=0.3
2023-09-25,17.64,620.00,1085.00,n=0.3
2023-09-26,18.41,90.00,580.00,n=0.3
2023-09-27,18.93,-15.00,-255.00,credit
2023-09-28,18.14,-155.00,1660.00,n=0.3
2023-09-29,16.02,-235.00,-2525.00,credit
2023-10-02,17.86,-865.00,1515.00,n=0.3
2023-10-03,19.03,340.00,340.00,credit
2023-10-04,19.28,780.00,1351.00,n=0.3
2023-10-05,18.96,150.00,675.00,n=0.3
2023-10-06,19.30,-25.00,-2355.00,credit
2023-10-09,18.74,-1464.00,-2134.00,credit
2023-10-10,16.93,-320.00,1085.00,n=0.3
2023-10-11,16.58,745.00,1225.00,n=0.3
2023-10-12,16.01,-200.00,-685.00,credit
2023-10-13,17.64,165.00,615.00,n=0.3
2023-10-16,17.83,420.00,1240.00,n=0.3
2023-10-17,17.89,-215.00,-385.00,credit
2023-10-18,18.78,425.00,814.00,n=0.3
2023-10-19,19.02,-980.00,495.00,n=0.3
2023-10-20,21.59,295.00,295.00,credit
2023-10-23,21.18,-780.00,1700.00,n=0.3
2023-10-24,19.51,-610.00,-250.00,n=0.3
2023-10-25,19.94,-90.00,-900.00,credit
2023-10-26,21.25,95.00,575.00,n=0.3
2023-10-27,19.75,-465.00,-1640.00,credit
2023-10-30,20.42,535.00,765.00,n=0.3
2023-10-31,19.35,795.00,778.00,credit
2023-11-01,17.32,1285.00,1650.00,n=0.3
2023-11-02,16.14,340.00,-40.00,credit
2023-11-03,15.22,615.00,615.00,credit
2023-11-06,15.43,205.00,205.00,credit
2023-11-07,14.86,50.00,50.00,credit
2023-11-08,14.59,125.00,125.00,credit
2023-11-09,14.66,210.00,210.00,credit
2023-11-10,14.94,-1180.00,-2865.00,credit
2023-11-13,14.86,-330.00,280.00,n=0.3
2023-11-14,14.26,590.00,590.00,credit
2023-11-15,14.02,375.00,375.00,credit
2023-11-16,13.89,195.00,195.00,credit
2023-11-17,14.06,165.00,165.00,credit
2023-11-20,13.86,45.00,45.00,credit
2023-11-21,13.52,115.00,115.00,credit
2023-11-22,13.07,50.00,50.00,credit
2023-11-24,13.07,0.00,0.00,credit
2023-11-27,12.83,0.00,0.00,credit
2023-11-28,12.76,0.00,0.00,credit
2023-11-29,12.80,70.00,70.00,credit
2023-11-30,13.15,180.00,180.00,credit
2023-12-01,12.88,-440.00,-590.00,credit
2023-12-04,13.54,-110.00,145.00,n=0.3
2023-12-05,13.22,110.00,110.00,credit
2023-12-06,12.69,125.00,125.00,credit
2023-12-07,13.06,55.00,55.00,credit
2023-12-08,12.78,205.00,205.00,credit
2023-12-11,12.92,55.00,55.00,credit
2023-12-12,12.35,45.00,45.00,credit
2023-12-13,12.28,-495.00,-3795.00,credit
2023-12-14,12.18,420.00,420.00,credit
2023-12-15,12.16,325.00,325.00,credit
2023-12-18,12.58,0.00,0.00,credit
2023-12-19,12.45,0.00,0.00,credit
2023-12-20,12.38,0.00,0.00,credit
2023-12-21,13.75,-668.00,957.00,n=0.3
2023-12-22,13.76,-70.00,-350.00,credit
2023-12-26,13.63,0.00,0.00,credit
2023-12-27,12.75,130.00,130.00,credit
2023-12-28,12.49,0.00,0.00,credit
2023-12-29,12.65,320.00,320.00,credit
2024-01-02,13.89,-100.00,165.00,n=0.3
2024-01-03,14.11,330.00,330.00,credit
2024-01-04,13.93,60.00,60.00,credit
2024-01-05,13.36,-305.00,-920.00,credit
2024-01-08,13.69,-1235.00,-1235.00,credit
2024-01-09,13.24,180.00,180.00,credit
2024-01-10,12.77,150.00,150.00,credit
2024-01-11,12.92,-465.00,-395.00,n=0.3
2024-01-12,12.68,585.00,585.00,credit
2024-01-16,13.80,0.00,460.00,n=0.3
2024-01-17,15.06,430.00,430.00,credit
2024-01-18,14.29,12.00,-311.00,credit
2024-01-19,13.87,-890.00,-1810.00,credit
2024-01-22,13.57,235.00,235.00,credit
2024-01-23,13.05,110.00,110.00,credit
2024-01-24,12.44,145.00,145.00,credit
2024-01-25,13.22,355.00,355.00,credit
2024-01-26,13.49,20.00,370.00,n=0.3
2024-01-29,13.82,-570.00,-3306.00,credit
2024-01-30,13.63,205.00,205.00,credit
2024-01-31,13.95,95.00,65.00,credit
2024-02-01,14.02,-1475.00,-2461.00,credit
2024-02-02,13.91,85.00,-650.00,credit
2024-02-05,14.16,-230.00,560.00,n=0.3
2024-02-06,13.63,480.00,480.00,credit
2024-02-07,12.98,750.00,750.00,credit
2024-02-08,12.95,275.00,275.00,credit
2024-02-09,12.82,115.00,115.00,credit
2024-02-12,13.57,-220.00,150.00,n=0.3
2024-02-13,14.92,440.00,310.00,credit
2024-02-14,14.34,-728.00,393.00,n=0.3
2024-02-15,14.32,-100.00,782.00,n=0.3
2024-02-16,14.41,915.00,915.00,credit
2024-02-20,15.78,425.00,425.00,credit
2024-02-21,15.73,535.00,535.00,credit
2024-02-22,14.29,-640.00,-1010.00,credit
2024-02-23,14.17,-580.00,670.00,n=0.3
2024-02-26,13.94,170.00,170.00,credit
2024-02-27,13.58,130.00,130.00,credit
2024-02-28,13.55,200.00,200.00,credit
2024-02-29,13.57,600.00,600.00,credit
2024-03-01,13.20,25.00,-135.00,credit
2024-03-04,13.51,45.00,45.00,credit
2024-03-05,14.13,305.00,305.00,credit
2024-03-06,14.41,100.00,950.00,n=0.3
