combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
38,100,1.5,1.5,True,True,10,current,,89920.0004786253,2.022006161239143,-18134.999625608325,61.00278551532033,125.23676946883747,26.127527216174183,3215,375,718,,,,,,,
31,100,1.25,1.25,True,True,10,current,,81134.99953754246,2.0212839349814806,-17305.000214874744,61.42061281337048,113.00139211356888,26.237319397479247,3253,337,718,,,,,,,
59,100,2.25,2.25,True,True,10,current,,101785.0009649992,2.0185473837993024,-18470.00009931624,62.116991643454035,141.76183978412143,24.40401505646173,3188,402,718,,,,,,,
134,200,1.75,1.5,True,True,10,current,,104465.00080049038,2.0184256175911273,-24164.999440088868,63.091922005571035,145.49443008424845,22.76422764227642,3198,392,718,,,,,,,
1,75,1.25,1.25,True,True,10,current,,78820.00031918287,2.0156918420652334,-16129.999893009663,60.58495821727019,109.77715921891765,27.144174608054104,3253,337,718,,,,,,,
114,150,2.25,1.0,True,True,10,current,,94869.99939464033,2.0067187313342143,-17070.000336021185,61.55988857938719,132.1309183769364,21.43977415307403,3188,402,718,,,,,,,
9,75,1.5,1.75,True,True,10,current,,85855.0010560453,1.993418171794541,-16599.999115020037,58.91364902506964,119.5752103844642,27.57387247278383,3215,375,718,,,,,,,
10,75,1.5,2.0,True,True,10,current,,85705.00148072839,1.992067017550438,-17434.99983303249,58.35654596100278,119.36629732691976,27.807153965785382,3215,375,718,,,,,,,
77,125,1.75,2.25,True,True,10,current,,94280.00196039677,1.988601584861783,-19884.999129921198,61.28133704735376,131.3091949309147,25.734834271419636,3198,392,718,,,,,,,
40,100,1.5,2.0,True,True,10,current,,87405.00201284885,1.984982931371314,-17269.999711737037,59.19220055710307,121.73398609031874,27.060653188180407,3215,375,718,,,,,,,
61,125,1.25,1.25,True,True,10,current,,82934.999403283,1.9831657379350576,-17045.000221654773,61.97771587743732,115.50835571487883,25.361205041500153,3253,337,718,,,,,,,
89,125,2.25,2.25,True,True,10,current,,103260.0005555898,1.976396727685534,-19395.00000216067,62.67409470752089,143.8161567626599,23.855081555834378,3188,402,718,,,,,,,
